id,titulo,genero,presupuesto,recaudacion,duracion,fecha_estreno,puntuacion,roi
1151031,Devuélvemela,Terror,15000000,39410222,104,2025-05-28,7.379,1.6273481333333333
507086,Jurassic World: Dominion,Aventura,465000000,1004004592,147,2022-06-01,6.614,1.1591496602150537
296096,Antes de ti,Drama,20000000,207945075,110,2016-06-01,7.921,9.39725375
329865,La llegada,Drama,47000000,203388186,116,2016-11-10,7.623,3.3274082127659574
321612,La bella y la bestia,Familia,160000000,1266115964,129,2017-03-16,6.968,6.913224775
493529,Dungeons & Dragons: Honor entre ladrones,Aventura,151000000,208200000,134,2023-03-23,7.33,0.37880794701986753
505642,Black Panther: Wakanda Forever,Acción,250000000,859102154,162,2022-11-09,7.014,2.436408616
1011477,Karate Kid: Legends,Acción,45000000,117105466,94,2025-05-08,7.0,1.602343688888889
573435,Bad Boys: Ride or Die,Acción,100000000,404547819,115,2024-06-05,7.338,3.04547819
616037,Thor: Love and Thunder,Fantasía,250000000,760900000,118,2022-07-06,6.38,2.0436
1138194,Heretic,Suspense,10000000,51913394,110,2024-10-31,6.978,4.1913394
260513,Los Increíbles 2,Acción,200000000,1243225667,120,2018-06-14,7.453,5.216128335
346364,It (Eso),Terror,35000000,719766009,135,2017-09-06,7.238,19.564743114285715
298618,Flash,Acción,220000000,271333313,144,2023-06-13,6.618,0.2333332409090909
1213898,बॉर्डर २,Acción,33000000,21000000,199,2026-01-23,7.375,-0.36363636363636365
1151272,Sirat: Trance en el desierto,Drama,7000000,10445082,130,2025-06-06,6.811,0.49215457142857144
425909,Cazafantasmas: Más allá,Fantasía,75000000,204445747,124,2021-11-18,7.328,1.7259432933333334
423108,Expediente Warren: Obligado por el demonio,Terror,39000000,206444123,112,2021-05-25,7.367,4.293439051282052
1242011,Together,Terror,17000000,34573161,102,2025-07-28,7.033,1.0337153529411764
1011985,Kung Fu Panda 4,Animación,80000000,548040835,94,2024-03-02,7.0,5.8505104375
474350,It: Capítulo 2,Terror,79000000,473123154,169,2019-09-04,6.839,4.988900683544304
374720,Dunkerque,Bélica,150000000,527000000,107,2017-07-19,7.449,2.513333333333333
281957,El renacido,Western,135000000,532950503,156,2015-12-25,7.538,2.9477815037037036
1087891,Amateur,Suspense,60000000,96000836,123,2025-04-09,6.964,0.6000139333333333
568124,Encanto,Animación,150000000,261292688,102,2021-10-13,7.574,0.7419512533333333
353081,Misión: Imposible - Fallout,Acción,178000000,791658205,147,2018-07-25,7.447,3.4475180056179777
291805,Ahora me ves 2,Suspense,120000000,334897606,129,2016-06-02,6.829,1.7908133833333333
87101,Terminator Génesis,Ciencia ficción,155000000,440603537,126,2015-06-23,5.948,1.842603464516129
263115,Logan,Acción,97000000,619021436,137,2017-02-28,7.818,5.381664288659794
284053,Thor: Ragnarok,Acción,180000000,855301806,131,2017-10-02,7.581,3.7516767
335983,Venom,Ciencia ficción,116000000,856085151,112,2018-09-28,6.8,6.380044405172414
337167,Cincuenta sombras liberadas,Drama,55000000,371985018,105,2018-01-17,6.678,5.763363963636364
639720,Amigos imaginarios,Comedia,110000000,190309707,104,2024-05-08,6.991,0.7300882454545454
396535,Train to Busan,Terror,8500000,87547518,118,2016-07-20,7.748,9.299708
290098,La doncella,Suspense,8575000,38600000,145,2016-06-01,8.191,3.501457725947522
140607,Star Wars: El despertar de la fuerza,Aventura,245000000,2068223624,136,2015-12-15,7.252,7.44172907755102
447277,La sirenita,Aventura,297000000,569626289,135,2023-05-18,6.276,0.917933632996633
1317149,I Swear,Drama,6000000,8220626,121,2025-09-22,7.984,0.3701043333333333
917496,Bitelchús Bitelchús,Comedia,99000000,452000435,105,2024-09-04,6.948,3.5656609595959594
696506,Mickey 17,Ciencia ficción,118000000,133442263,137,2025-02-28,6.8,0.13086663559322034
181812,Star Wars: El ascenso de Skywalker,Aventura,489900000,1074144248,141,2019-12-18,6.276,1.192578583384364
299537,Capitana Marvel,Acción,152000000,1131416446,125,2019-03-06,6.787,6.44352925
648878,Eddington,Western,25000000,13738227,148,2025-07-16,6.419,-0.45047092
436270,Black Adam,Acción,200000000,393452111,124,2022-10-19,6.824,0.967260555
370172,Sin tiempo para morir,Acción,250000000,774153024,163,2021-09-29,7.347,2.096612096
937941,Shelby Oaks,Terror,1400000,2350523,91,2025-10-02,5.8,0.678945
1064213,Anora,Drama,6000000,56286295,138,2024-10-14,7.061,8.381049166666667
284052,Doctor Strange,Fantasía,180000000,676343174,115,2016-10-25,7.4,2.757462077777778
384018,Fast & Furious: Hobbs & Shaw,Acción,200000000,760098996,137,2019-07-31,6.837,2.80049498
823219,"Flow, un mundo que salvar",Animación,3700000,17660107,84,2024-08-29,8.098,3.7730018918918917
792307,Pobres criaturas,Ciencia ficción,35000000,117607117,141,2023-12-07,7.656,2.360203342857143
324552,John Wick: Pacto de sangre,Acción,40000000,171539887,122,2017-02-08,7.337,3.288497175
135397,Jurassic World,Acción,150000000,1671537444,124,2015-06-06,6.699,10.14358296
351286,Jurassic World: El reino caído,Acción,170000000,1310469037,128,2018-06-06,6.533,6.708641394117647
383498,Deadpool 2,Acción,110000000,785896632,123,2018-05-15,7.489,6.144514836363636
281338,La guerra del planeta de los simios,Drama,150000000,490719763,140,2017-07-11,7.215,2.271465086666667
313369,La ciudad de las estrellas (La La Land),Comedia,30000000,509183536,128,2016-12-01,7.9,15.972784533333334
426063,Nosferatu,Terror,50000000,181764515,133,2024-12-25,6.704,2.6352903
47971,xXx: Reactivated,Acción,85000000,346118277,106,2017-01-13,6.135,3.0719797294117646
324786,Hasta el último hombre,Drama,40000000,175302354,131,2016-10-07,8.191,3.38255885
299054,Los mercen4rios,Acción,100000000,37917985,103,2023-09-15,6.079,-0.62082015
527774,Raya y el último dragón,Animación,100000000,130423032,114,2021-03-03,7.805,0.30423032
695721,Los Juegos del Hambre: Balada de pájaros cantores y serpientes,Ciencia ficción,100000000,337371917,157,2023-11-15,6.988,2.37371917
929590,Civil War,Bélica,50000000,126542249,109,2024-04-10,6.8,1.53084498
198184,Chappie,Crimen,49000000,104399548,120,2015-03-04,6.785,1.1306030204081632
419430,Déjame salir,Misterio,4500000,255407969,103,2017-02-24,7.622,55.757326444444445
718821,Twisters,Acción,155000000,372262265,123,2024-07-10,6.785,1.4016920322580646
316029,El gran showman,Drama,84000000,459066134,105,2017-12-20,7.9,4.4650730238095235
420818,El rey león,Aventura,260000000,1662020819,118,2019-07-12,7.097,5.3923877653846155
466420,Los asesinos de la luna,Crimen,200000000,158722599,206,2023-10-18,7.405,-0.206387005
168259,Fast & Furious 7,Acción,190000000,1515400000,139,2015-04-01,7.218,6.975789473684211
290859,Terminator: Destino oscuro,Ciencia ficción,185000000,261119292,120,2019-10-23,6.411,0.41145563243243244
508883,El chico y la garza,Animación,50000000,294200000,124,2023-07-14,7.404,4.884
464052,Wonder Woman 1984,Acción,200000000,169601036,151,2020-12-16,6.376,-0.15199482
646385,Scream,Terror,24000000,138874789,120,2022-01-12,6.692,4.786449541666666
399579,Alita: Ángel de combate,Acción,170000000,405000000,122,2019-01-31,7.243,1.3823529411764706
776503,CODA: Los sonidos del silencio,Drama,10000000,1905058,111,2021-08-13,7.897,-0.8094942
506971,Teefa in Trouble,Drama,1500000,3062477,155,2018-07-20,7.5,1.0416513333333333
840705,Parpadea dos veces,Misterio,20000000,46393906,102,2024-08-21,6.7,1.3196953
337404,Cruella,Comedia,200000000,233503234,134,2021-05-26,7.977,0.16751617
748783,Garfield: La película,Familia,60000000,254907482,101,2024-04-30,7.014,3.2484580333333333
866398,Beekeeper: El protector,Acción,35000000,152720535,105,2024-01-08,7.255,3.3634438571428573
140300,Kung Fu Panda 3,Animación,145000000,521170825,95,2016-01-23,6.9,2.594281551724138
507244,Afterburn (Zona cero),Ciencia ficción,60000000,184758,105,2025-08-20,6.481,-0.9969207
566525,Shang-Chi y la leyenda de los Diez Anillos,Acción,150000000,432243292,132,2021-09-01,7.498,1.8816219466666666
177677,Misión imposible: Nación secreta,Acción,150000000,682716636,131,2015-07-28,7.221,3.55144424
940551,Migración. Un viaje patas arriba,Familia,72000000,298776052,83,2023-12-06,7.4,3.149667388888889
166428,Cómo entrenar a tu dragón 3,Animación,129000000,539987993,110,2019-01-03,7.748,3.185953434108527
1205515,"Sorry, Baby",Drama,1500000,2279895,104,2025-06-27,6.8,0.51993
447332,Un lugar tranquilo,Terror,17000000,340955294,96,2018-04-03,7.393,19.05619376470588
1097549,Babygirl,Romance,20000000,60934894,114,2024-12-25,5.713,2.0467447
392044,Asesinato en el Orient Express,Misterio,55000000,352800000,114,2017-11-03,6.706,5.414545454545454
181808,Star Wars: Los últimos Jedi,Aventura,300000000,1332698830,150,2017-12-13,6.759,3.442329433333333
206647,Spectre,Acción,245000000,880707597,148,2015-10-26,6.566,2.5947248857142857
667538,Transformers: El despertar de las bestias,Ciencia ficción,195000000,441381193,127,2023-06-06,7.189,1.2634932974358974
1160360,"Si pudiera, te daría una patada",Drama,1500000,1346808,113,2025-10-10,6.552,-0.102128
337339,Fast & Furious 8,Acción,250000000,1236000000,135,2017-04-12,6.857,3.944
493922,Hereditary,Terror,10000000,87796204,126,2018-06-07,7.292,7.7796204
339403,Baby Driver,Acción,34000000,226945087,112,2017-06-28,7.441,5.6748555
529203,Los Croods: Una nueva era,Animación,65000000,215905815,90,2020-11-25,7.453,2.3216279230769232
615457,Nadie,Acción,16000000,57512470,92,2021-03-18,7.893,2.594529375
339846,Baywatch: Los vigilantes de la playa,Comedia,69000000,177900000,116,2017-05-25,6.087,1.5782608695652174
359724,Le Mans '66,Drama,97600000,225508210,153,2019-11-13,8.005,1.3105349385245901
631843,Tiempo,Suspense,18000000,90146510,108,2021-07-21,6.325,4.008139444444445
926393,The Equalizer 3,Acción,70000000,191067560,109,2023-08-30,7.29,1.7295365714285715
882569,El pacto,Bélica,55000000,21948551,123,2023-04-19,7.725,-0.6009354363636363
402900,Ocean's 8,Crimen,70000000,297718711,110,2018-06-07,6.963,3.2531244428571426
650524,尋秦記,Ciencia ficción,45000000,38946463,107,2025-12-31,6.1,-0.13452304444444443
986097,El mejor,Terror,27000000,27834512,96,2025-09-18,5.788,0.030907851851851853
530385,Midsommar,Terror,9000000,48498408,148,2019-07-03,7.152,4.388712
264660,Ex Machina,Drama,15000000,36869414,108,2015-01-21,7.573,1.4579609333333334
454626,Sonic: La película,Acción,85000000,319715683,98,2020-02-12,7.291,2.761360976470588
335977,Indiana Jones y el dial del destino,Aventura,294700000,383963057,155,2023-06-25,6.515,0.30289466236851037
141052,Liga de la Justicia,Acción,300000000,661326987,121,2017-11-15,6.072,1.20442329
1337562,Amores Compartidos,Comedia,20000000,3255315,105,2025-08-21,6.339,-0.83723425
940721,Godzilla Minus One,Ciencia ficción,15000000,113676322,124,2023-11-03,7.582,6.578421466666667
840326,Sisu,Acción,6600000,14281199,91,2022-09-09,7.4,1.1638180303030303
273248,Los odiosos ocho,Drama,44000000,155760117,187,2015-12-25,7.755,2.5400026590909093
934433,Scream VI,Terror,33000000,169063850,123,2023-03-08,7.0,4.12314696969697
585083,Hotel Transilvania: Transformanía,Animación,75000000,18500000,92,2022-01-31,7.046,-0.7533333333333333
1010756,Strangers: Capítulo 2,Terror,8000000,21921749,98,2025-09-25,6.129,1.740218625
273477,Zombie camp,Comedia,15000000,14900000,95,2015-10-23,6.564,-0.006666666666666667
1032823,La trampa,Crimen,30000000,83677281,105,2024-07-31,6.2,1.7892427
1371185,Song Sung Blue - Canción para dos,Drama,30000000,54982453,133,2025-12-25,7.6,0.8327484333333334
520763,Un lugar tranquilo 2,Ciencia ficción,55000000,297372261,97,2021-05-21,7.442,4.406768381818182
293167,Kong: La isla calavera,Acción,185000000,566652812,118,2017-03-08,6.551,2.062988172972973
1313003,Muero por ella,Romance,5000000,490149,103,2025-03-20,5.79,-0.9019702
439079,La monja,Terror,22000000,366082797,96,2018-09-05,5.904,15.640127136363636
273481,Sicario,Acción,30000000,84997446,121,2015-09-17,7.416,1.8332482
634492,Madame Web,Acción,80000000,100498764,117,2024-02-14,5.306,0.25623455
495764,Aves de presa (y la fantabulosa emancipación de Harley Quinn),Acción,75000000,205537933,109,2020-02-05,6.885,1.7405057733333333
310131,La bruja,Terror,4000000,40423945,93,2016-02-19,6.996,9.10598625
419743,Disobedience,Drama,6000000,8000000,114,2018-04-24,6.884,0.3333333333333333
259316,Animales fantásticos y dónde encontrarlos,Fantasía,180000000,809342332,133,2016-11-16,7.309,3.4963462888888888
1064028,Alice (Subservience),Ciencia ficción,4400000,262793,105,2024-08-15,6.6,-0.9402743181818182
373571,Godzilla: Rey de los Monstruos,Ciencia ficción,170000000,387300138,132,2019-05-29,6.689,1.278236105882353
647245,Reagan,Historia,25000000,30107173,141,2024-08-29,6.271,0.20428692
661374,Puñales por la espalda: El misterio de Glass Onion,Comedia,40000000,15000000,139,2022-11-23,7.0,-0.625
615453,Ne Zha,Animación,22000000,742718496,110,2019-07-26,7.897,32.75993163636364
270303,It Follows,Terror,2300000,23374076,100,2015-02-04,6.586,9.162641739130434
301528,Toy Story 4,Familia,175000000,1073841394,90,2019-06-19,7.467,5.1362365371428576
635302,Guardianes de la Noche: Tren infinito,Animación,15700000,523542183,117,2020-10-16,8.206,32.34663585987261
297802,Aquaman,Acción,160000000,1152028393,142,2018-12-07,6.868,6.20017745625
398978,El irlandés,Crimen,159000000,968853,209,2019-11-01,7.579,-0.9939065849056604
889737,Joker: Folie à Deux,Drama,190000000,207500287,138,2024-10-01,5.4,0.09210677368421052
278154,Ice Age: El gran cataclismo,Aventura,105000000,408579038,95,2016-06-23,6.114,2.891228933333333
207703,Kingsman: Servicio secreto,Crimen,81000000,414351546,129,2015-01-24,7.62,4.115451185185186
508943,Luca,Animación,200000000,51074773,101,2021-06-17,7.788,-0.744626135
756999,Black Phone,Terror,16000000,161441914,102,2022-06-16,7.538,9.090119625
363676,Sully,Drama,60000000,240800000,96,2016-09-07,7.198,3.013333333333333
787699,Wonka,Comedia,125000000,634502312,117,2023-12-06,7.043,4.076018496
588228,La guerra del mañana,Acción,200000000,14400000,138,2021-09-03,7.479,-0.928
399402,Hunter Killer: Caza en las profundidades,Acción,40000000,31672678,122,2018-10-19,6.896,-0.20818305
424694,Bohemian Rhapsody,Música,52000000,910813521,134,2018-10-24,7.962,16.515644634615384
870028,El contable 2,Misterio,80000000,103223366,133,2025-04-23,7.092,0.290292075
512200,Jumanji: Siguiente nivel,Aventura,125000000,801693929,125,2019-12-04,6.878,5.413551432
398818,Call Me by Your Name,Romance,3500000,43143046,122,2017-10-01,8.1,11.32658457142857
381284,Figuras ocultas,Drama,25000000,235957472,127,2016-12-10,8.048,8.43829888
1125257,Ponte en mi lugar de nuevo,Comedia,42000000,153176952,110,2025-08-06,6.8,2.647070285714286
661539,A Complete Unknown,Drama,65000000,138003641,140,2024-12-25,7.085,1.1231329384615385
303857,Dragon Ball Z: La resurrección de F,Acción,5000000,61768190,71,2015-04-18,6.857,11.353638
343611,Jack Reacher: Nunca vuelvas atrás,Acción,60000000,162100000,118,2016-10-19,6.002,1.7016666666666667
1128650,El fiscal,Acción,38500000,128093757,117,2024-12-08,6.9,2.3271105714285714
399055,La forma del agua,Drama,19500000,195300000,119,2017-12-01,7.237,9.015384615384615
682507,La chica salvaje,Drama,24000000,144353965,126,2022-07-14,7.529,5.014748541666667
673593,Chicas malas,Comedia,36000000,104970953,113,2024-01-10,5.906,1.9158598055555556
246655,X-Men: Apocalipsis,Acción,178000000,543934787,144,2016-05-18,6.519,2.0558134101123597
985939,Fall,Suspense,3000000,17363261,107,2022-08-11,7.112,4.787753666666666
760329,The Smashing Machine,Drama,50000000,21133481,123,2025-10-01,6.5,-0.57733038
424783,Bumblebee,Acción,135000000,467989645,114,2018-11-22,6.72,2.466589962962963
404368,Ralph rompe Internet,Familia,175000000,529323962,112,2018-11-20,7.163,2.0247083542857145
259693,Expediente Warren: El caso Enfield,Terror,40000000,322819915,134,2016-06-08,7.294,7.070497875
937287,Rivales,Drama,55000000,94182533,132,2024-04-18,6.9,0.7124096909090909
579974,RRR,Acción,69000000,160000000,185,2022-03-24,7.733,1.318840579710145
381288,Múltiple,Terror,9000000,278454358,117,2017-01-19,7.343,29.93937311111111
363088,Ant-Man y la Avispa,Acción,140000000,622674139,118,2018-07-04,6.907,3.4476724214285714
717930,Operación Kandahar,Acción,30000000,9400000,119,2023-05-25,6.797,-0.6866666666666666
406997,Wonder,Familia,20000000,315025930,120,2017-11-13,8.109,14.7512965
1114967,Movida celestial,Comedia,30000000,26117423,98,2025-10-14,7.015,-0.12941923333333333
427641,Proyecto Rampage,Acción,120000000,428028233,107,2018-04-11,6.451,2.5669019416666665
360920,El Grinch,Familia,75000000,508600000,90,2018-11-08,6.877,5.781333333333333
331482,Mujercitas,Drama,40000000,332103783,135,2019-12-25,7.858,7.302594575
490132,Green Book,Drama,23000000,321752656,130,2018-11-16,8.223,12.989245913043478
102899,Ant-Man,Ciencia ficción,130000000,519311965,117,2015-07-14,7.066,2.9947074230769233
1364608,Anémona,Drama,11000000,1161830,125,2025-10-02,6.2,-0.894379090909091
580489,Venom: habrá matanza,Ciencia ficción,110000000,506863592,97,2021-09-30,6.8,3.6078508363636366
1034541,Terrifier 3,Terror,2000000,90322103,125,2024-10-09,6.798,44.1610515
640146,Ant-Man y la Avispa: Quantumanía,Acción,200000000,476071180,125,2023-02-15,6.241,1.3803559
713704,Posesión infernal: El despertar,Terror,15000000,147156372,96,2023-04-12,6.919,8.8104248
1102493,Cosas pequeñas como estas,Drama,3000000,12534032,100,2024-11-01,6.7,3.1780106666666668
400155,Hotel Transilvania 3: Unas vacaciones monstruosas,Animación,80000000,528600000,90,2018-06-28,6.854,5.6075
460458,Resident Evil: Bienvenidos a Raccoon City,Acción,25000000,41914915,107,2021-11-24,5.946,0.6765966
587792,Palm Springs,Comedia,5000000,1818417,90,2020-07-10,7.332,-0.6363166
1042834,Edén,Suspense,50000000,1907486,129,2025-04-03,6.7,-0.96185028
312221,Creed. La leyenda de Rocky,Drama,37000000,173600000,133,2015-11-25,7.403,3.691891891891892
38700,Bad Boys for Life,Suspense,90000000,426505244,123,2020-01-15,7.122,3.7389471555555556
